gap_skill_full,canonical_skill_label,count
parallel processing,Answer questions posed by instructors,1
parallel processing,Amdahl's Law Application,1
multithreading,Understanding how to communicate effectively in sales,1
multithreading,Self-learning ability,1
multithreading,RISC Architecture,1
A/B Testing,Software Maintenance,1
A/B Testing,Software Engineering Overview,1
A/B Testing,Software Design Fundamentals,1
A/B Testing,Social responsibility and professional ethics,1
project-management-tools-JIRA,Problem Solving Ability,1
project-management-tools-JIRA,Practical Application of Project Management Skills,1
project-management-tools-JIRA,Personal responsibility and teamwork,1
project-management-tools-JIRA,Interdisciplinary Knowledge,1
project-management-tools-JIRA,IT Project Management Knowledge,1
project-management-tools-JIRA,Classroom Discipline Awareness,1
parallel processing,Understanding how to communicate effectively in sales,1
parallel processing,Self-learning ability,1
parallel processing,RISC Architecture,1
parallel processing,Quantitative Design Principles,1
parallel processing,Problem Solving Skills,1
parallel processing,Pipeline Hazards,1
parallel processing,Performance Measurement,1
parallel processing,Participate in group discussions,1
parallel processing,Parallelism Techniques,1
parallel processing,Multi-core CPU Architecture,1
CAN,Performance Measurement,1
CAN,Participate in group discussions,1
CAN,Parallelism Techniques,1
CAN,Multi-core CPU Architecture,1
CAN,Memory Hierarchy Design,1
CAN,Instruction Set Architecture (ISA),1
CAN,Implement instructor-assigned projects,1
CAN,Execute code segments,1
CAN,Describe the operation of software on a computer,1
CAN,Classroom Discipline,1
CAN,Cache Memory,1
CAN,Applying Critical Thinking to Solve Practical Problems,1
CAN,Apply testing techniques,1
CAN,Apply basic programming techniques,1
CAN,Answer questions posed by instructors,1
