pair_id,jd_id,gap_source,gap_count,identified_gaps,groundtruth_technical_gaps,gap_match_details,missed_gap_confusions,query_text,truth_count,truth_courses,pred_top10,pred_top10_titles,overlap_top10,hit@1,hit@3,hit@5,hit@10
23,694a8e0847743a24b54ffb0a,groundtruth_dataset,3,Python; C#; Playwright,Python; C#; Playwright,<groundtruth_gap_source>,,"Python, C#, Playwright",2,CNTT1180; TIHT1113,NNTM1107; TKKT1134; NNTM1163; DTKT1149; CNTT1119; TOKT1149; CNTT1130; TIKT1129; TIHT1113; TIKT1129,Translation 1; Data Analysis 2; Translation 3; Chuyên đề Tin học quản lý đầu tư; Website Design and Programming; Data Driven Marketing; .Net Programming; Electronic Commerce Systems; Development of Management Applications; Electronic Commerce Systems,TIHT1113,0.0,0.0,0.0,1.0
30,694a8e9e47743a24b54ffb0b,groundtruth_dataset,2,AWS; cloud platforms,AWS; cloud platforms,<groundtruth_gap_source>,,"AWS, cloud platforms",2,CNTT1167; CNTT1198,TKKT1134; NNTM1107; CNTT1167; CNTT1198; DTKT1149; TOKT1149; NNTM1163; TIKT1129; CNTT1186; TIKT1129,Data Analysis 2; Translation 1; Cloud Computing; Cloud Service Security; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing; Translation 3; Electronic Commerce Systems; Advanced Technologies in Information and Communication Technology; Electronic Commerce Systems,CNTT1167; CNTT1198,0.0,1.0,1.0,1.0
31,697b1754b166038a822e4d36,groundtruth_dataset,3,Real estate industry experience; Project management; Managing outsourced content providers,Real estate industry experience; Project management; Managing outsourced content providers,<groundtruth_gap_source>,,"Real estate industry experience, Project management, Managing outsourced content providers",3,TNBD1137; TNBD1115; TNBD1116,TNBD1135; TNBD1133; TNBD1137; TNBD1113; TNBD1115; TNBD1116; TNBD1109; DTKT1149; MTDT1123; DTKT1164,Real Estate Business 2; English for Real Estate; Real Estate Development; Real Estate Business 1; Real Estate Brokerage; Real estate Management; Real Estate Market; Chuyên đề Tin học quản lý đầu tư; Urban Housing Economics and Management; Contract Management,TNBD1137; TNBD1115; TNBD1116,0.0,1.0,1.0,1.0
35,694a8e9e47743a24b54ffb0d,groundtruth_dataset,5,information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles,information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles,<groundtruth_gap_source>,,"information security governance frameworks, compliance management, periodic review processes, security compliance standards, cloud security principles",4,CNTT1198; CNTT1168; CNTT1197; CNTT1199,CNTT1198; CNTT1168; KTHT1105; KTHT 1102; TIKT1109; CNTT1167; CNTT1199; KTHT1105; KTHT 1102; KTKI 1101,Cloud Service Security; An toàn và bảo mật thông tin; Kiểm soát nội bộ; Accounting Information Systems 2; Basic Informatics; Cloud Computing; Software and Database Security; Kiểm soát nội bộ; Accounting Information Systems 2; Principles of Auditing,CNTT1198; CNTT1168; CNTT1199,1.0,1.0,1.0,1.0
37,695cba711fa95d1eeecca0b9,groundtruth_dataset,5,JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain,JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain,<groundtruth_gap_source>,,"JPA, Flyway, AWS Cognito, AWS SES, Digital Marketing domain",3,CNTT1167; MKBH1116; CNTT1153,TKKT1134; NNTM1107; TOKT1149; NNTM1163; DTKT1149; CNTT1175; TIKT1130; CNTT1167; TIKT1129; CNTT1119,Data Analysis 2; Translation 1; Data Driven Marketing; Translation 3; Chuyên đề Tin học quản lý đầu tư; Unstructured database; Database; Cloud Computing; Electronic Commerce Systems; Website Design and Programming,CNTT1167,0.0,0.0,0.0,1.0
38,696f058ab166038a822e4742,groundtruth_dataset,3,Financial Analysis; Managerial Accounting; Budget Management,Financial Analysis; Managerial Accounting; Budget Management,<groundtruth_gap_source>,,"Financial Analysis, Managerial Accounting, Budget Management",3,QTKD1130; KTHT1104; KHMA1125,KTQT1103; KTQT1103; KTQT1106; KTQT1106; NHTC1103; NHTC1108; DTKT1149; KTKE1103; NHTC1120; NHLT1101,Managerial Accounting 1; Managerial Accounting 1; Managerial Accounting 2; Managerial Accounting 2; Quản trị Tài chính trong du lịch và khách sạn; Financial Analysis; Chuyên đề Tin học quản lý đầu tư; Public Accounting; Corporate Finance; Monetary and Financial Theories 1,,0.0,0.0,0.0,0.0
39,695cbba01fa95d1eeecca0bb,groundtruth_dataset,7,".Net; data pipelines; generative AI; NLP; computer vision; cloud environments (Azure, AWS, GCP); AI workloads optimization",".Net; data pipelines; generative AI; NLP; computer vision; cloud environments (Azure, AWS, GCP); AI workloads optimization",<groundtruth_gap_source>,,".Net, data pipelines, generative AI, NLP, computer vision, cloud environments (Azure, AWS, GCP), AI workloads optimization",4,CNTT1177; CNTT1130; CNTT1167; CNTT1140,TKKT1134; NNTM1107; NNTM1163; TOKT1149; DTKT1149; CNTT1187; CNTT1186; CNTT1167; TIHT1123; TIKT1122,Data Analysis 2; Translation 1; Translation 3; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Data Analysis Programming; Advanced Technologies in Information and Communication Technology; Cloud Computing; Application of Artificial Intelligence in Business and Management; Business Intelligence,CNTT1167,0.0,0.0,0.0,1.0
49,695cbc321fa95d1eeecca0bd,groundtruth_dataset,2,Cloud platforms; AWS,Cloud platforms; AWS,<groundtruth_gap_source>,,"Cloud platforms, AWS",1,CNTT1167,TKKT1134; CNTT1167; NNTM1107; CNTT1198; TOKT1149; DTKT1149; NNTM1163; CNTT1175; TIKT1135; CNTT1186,Data Analysis 2; Cloud Computing; Translation 1; Cloud Service Security; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Translation 3; Unstructured database; Development of Open Source Software and Applications; Advanced Technologies in Information and Communication Technology,CNTT1167,0.0,1.0,1.0,1.0
52,694a90f547743a24b54ffb12,groundtruth_dataset,3,ERP; digital marketing; technical writing,ERP; digital marketing; technical writing,<groundtruth_gap_source>,,"ERP, digital marketing, technical writing",2,MKBH1116; MKMA1159,TOKT1149; MKBH1116; TIKT1132; NNTM1163; NNTM1107; TKKT1134; DTKT1149; CNTT1119; MKTT1102; MKTT1110,Data Driven Marketing; Digital Marketing; Online Marketing; Translation 3; Translation 1; Data Analysis 2; Chuyên đề Tin học quản lý đầu tư; Website Design and Programming; Integrated Marketing Communications; Advertising agency management,MKBH1116,0.0,1.0,1.0,1.0
55,695cbcbd1fa95d1eeecca0be,groundtruth_dataset,5,MongoDB; Kubernetes; AWS; GCP; GO,MongoDB; Kubernetes; AWS; GCP; GO,<groundtruth_gap_source>,,"MongoDB, Kubernetes, AWS, GCP, GO",3,CNTT1167; TIKT1124; TIKT1130,TKKT1134; CNTT1175; NNTM1107; TOKT1149; CNTT1167; TIKT1130; TIKT1130; CNTT1187; DTKT1149; NNTM1163,Data Analysis 2; Unstructured database; Translation 1; Data Driven Marketing; Cloud Computing; Database; Database; Data Analysis Programming; Chuyên đề Tin học quản lý đầu tư; Translation 3,CNTT1167; TIKT1130; TIKT1130,0.0,0.0,1.0,1.0
57,696fca2cb166038a822e4750,groundtruth_dataset,4,Production Cost Optimization; Product Costing; Strategic Financial Analysis for Construction/Manufacturing; Management of Industrial Accounting Systems,Production Cost Optimization; Product Costing; Strategic Financial Analysis for Construction/Manufacturing; Management of Industrial Accounting Systems,<groundtruth_gap_source>,,"Production Cost Optimization, Product Costing, Strategic Financial Analysis for Construction/Manufacturing, Management of Industrial Accounting Systems",4,QTTH1116; KTQT1109; KTQT1103; KTQT1106,KTQT1106; KTQT1106; KTQT1109; KTQT1109; KTQT1103; KTQT1103; KTHT 1102; KTHT 1102; NHTC1103; QTKD1149,Managerial Accounting 2; Managerial Accounting 2; Cost Accounting; Cost Accounting; Managerial Accounting 1; Managerial Accounting 1; Accounting Information Systems 2; Accounting Information Systems 2; Quản trị Tài chính trong du lịch và khách sạn; Operations Management 2,KTQT1106; KTQT1106; KTQT1109; KTQT1109; KTQT1103; KTQT1103,1.0,1.0,1.0,1.0
64,69637f9d57a0f8cfb910e921,groundtruth_dataset,3,GCP; Azure; BigQuery,GCP; Azure; BigQuery,<groundtruth_gap_source>,,"GCP, Azure, BigQuery",3,CNTT1167; TKkD1127; CNTT1186,TKKT1134; NNTM1107; DTKT1149; TOKT1149; CNTT1175; CNTT1167; NNTM1163; CNTT1187; TIKT1130; TIKT1130,Data Analysis 2; Translation 1; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing; Unstructured database; Cloud Computing; Translation 3; Data Analysis Programming; Database; Database,CNTT1167,0.0,0.0,0.0,1.0
66,695cbcbd1fa95d1eeecca0bf,groundtruth_dataset,5,AWS Glue; EC2; VPC; ECS/EKS; IAM,AWS Glue; EC2; VPC; ECS/EKS; IAM,<groundtruth_gap_source>,,"AWS Glue, EC2, VPC, ECS/EKS, IAM",1,CNTT1167,TKKT1134; CNTT1167; NNTM1107; DTKT1149; CNTT1198; TOKT1149; NNTM1163; KTHT 1102; CNTT1187; DLKS1110,Data Analysis 2; Cloud Computing; Translation 1; Chuyên đề Tin học quản lý đầu tư; Cloud Service Security; Data Driven Marketing; Translation 3; Accounting Information Systems 2; Data Analysis Programming; MICE MANAGEMENT,CNTT1167,0.0,1.0,1.0,1.0
67,696fcc8eb166038a822e475f,groundtruth_dataset,7,Java; multithreading; parallel processing; CAN; Ethernet; IPCore; FPGA,Java; multithreading; parallel processing; CAN; Ethernet; IPCore; FPGA,<groundtruth_gap_source>,,"Java, multithreading, parallel processing, CAN, Ethernet, IPCore, FPGA",2,CNTT1153; CNTT1112,CNTT1153; CNTT1112; NNTM1107; TKKT1134; CNTT1154; NNTM1163; CNTT1118; DTKT1149; CNTT1186; TIHT1105,Java Programming; Computer Architecture; Translation 1; Data Analysis 2; Internet of Things; Translation 3; Algorithm Analysis and Design; Chuyên đề Tin học quản lý đầu tư; Advanced Technologies in Information and Communication Technology; Advanced Programming,CNTT1153; CNTT1112,1.0,1.0,1.0,1.0
68,69637e7057a0f8cfb910e91f,groundtruth_dataset,13,"customer onboarding; loans; compliance; GCP; AWS; Kubernetes; data governance; security protocols; regulatory frameworks (MAS, GDPR, PCI-DSS); Oracle; MongoDB; Cassandra; MySQL","customer onboarding; loans; compliance; GCP; AWS; Kubernetes; data governance; security protocols; regulatory frameworks (MAS, GDPR, PCI-DSS); Oracle; MongoDB; Cassandra; MySQL",<groundtruth_gap_source>,,"customer onboarding, loans, compliance, GCP, AWS, Kubernetes, data governance, security protocols, regulatory frameworks (MAS, GDPR, PCI-DSS), Oracle, MongoDB, Cassandra, MySQL",3,CNTT1198; CNTT1167; TIKT1124,TKKT1134; NNTM1107; TOKT1149; NNTM1163; DTKT1149; NHTM 1111; NHTM 1121; CNTT1167; NHTM 1102; KTHT 1102,Data Analysis 2; Translation 1; Data Driven Marketing; Translation 3; Chuyên đề Tin học quản lý đầu tư; Commercial Banking 2; Commercial Banking; Cloud Computing; Commercial Banking 1; Accounting Information Systems 2,CNTT1167,0.0,0.0,0.0,1.0
70,6963803557a0f8cfb910e922,groundtruth_dataset,5,"deploying local and remote notifications; implementing in-app purchases; application quality management and release processes (App Store / Google Play, etc.); test code writing experience (Jest / React Native Testing Library, etc.); Biome","deploying local and remote notifications; implementing in-app purchases; application quality management and release processes (App Store / Google Play, etc.); test code writing experience (Jest / React Native Testing Library, etc.); Biome",<groundtruth_gap_source>,,"deploying local and remote notifications, implementing in-app purchases, application quality management and release processes (App Store / Google Play, etc.), test code writing experience (Jest / React Native Testing Library, etc.), Biome",2,CNTT1157; CNTT1178,CNTT1157; NNTM1163; NNTM1107; TKKT1134; TOKT1149; CNTT1153; TIHT1113; DTKT1149; TIKT1134; NNTM1108,Mobile Applications Development; Translation 3; Translation 1; Data Analysis 2; Data Driven Marketing; Java Programming; Development of Management Applications; Chuyên đề Tin học quản lý đầu tư; Web Applications Development; Translation 2,CNTT1157,1.0,1.0,1.0,1.0
71,694a92ab47743a24b54ffb16,groundtruth_dataset,6,reactive programming; UI testing; modern mobile development landscape; Golang; Microservices; DevOps culture,reactive programming; UI testing; modern mobile development landscape; Golang; Microservices; DevOps culture,<groundtruth_gap_source>,,"reactive programming, UI testing, modern mobile development landscape, Golang, Microservices, DevOps culture",2,CNTT1178; CNTT1157,CNTT1157; CNTT1119; NNTM1107; TKKT1134; CNTT1188; CNTT1153; NNTM1163; TOKT1149; TIKT1134; CNTT1175,Mobile Applications Development; Website Design and Programming; Translation 1; Data Analysis 2; Web Programming; Java Programming; Translation 3; Data Driven Marketing; Web Applications Development; Unstructured database,CNTT1157,1.0,1.0,1.0,1.0
72,6963803557a0f8cfb910e923,groundtruth_dataset,3,C#; Playwright; performance testing techniques and tools,C#; Playwright; performance testing techniques and tools,<groundtruth_gap_source>,,"C#, Playwright, performance testing techniques and tools",2,CNTT1178; TIHT1113,NNTM1107; TKKT1134; NNTM1163; DTKT1149; TOKT1149; TOkt1110; CNTT1119; CNTT1178; CNTT11102; CNTT1188,Translation 1; Data Analysis 2; Translation 3; Chuyên đề Tin học quản lý đầu tư; Data Driven Marketing; Mathematical Statistics; Website Design and Programming; Software Testing and Quality Assurance; Vulnerability Assessment and Penetration Testing; Web Programming,CNTT1178,0.0,0.0,0.0,1.0
73,695cbe731fa95d1eeecca0c2,groundtruth_dataset,7,Vue.js; Unit test using Jest; Next.js; Performance-oriented development; Back-end development; AWS; Google Analytics,Vue.js; Unit test using Jest; Next.js; Performance-oriented development; Back-end development; AWS; Google Analytics,<groundtruth_gap_source>,,"Vue.js, Unit test using Jest, Next.js, Performance-oriented development, Back-end development, AWS, Google Analytics",3,CNTT1167; CNTT1119; CNTT1188,TKKT1134; NNTM1107; TOKT1149; DTKT1149; TOkt1110; NNTM1163; CNTT11102; CNTT1188; CNTT1175; CNTT1153,Data Analysis 2; Translation 1; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Mathematical Statistics; Translation 3; Vulnerability Assessment and Penetration Testing; Web Programming; Unstructured database; Java Programming,CNTT1188,0.0,0.0,0.0,1.0
74,696fd023b166038a822e477f,groundtruth_dataset,1,Fast accounting software,Fast accounting software,<groundtruth_gap_source>,,Fast accounting software,2,TIHT1119; KTHT1104,TIHT1119; TIKT1117; NNTM1107; KTKE1103; DTKT1149; KTHT1101; KTKE1101; KTHT1101; TKKT1134; KTQT1106,Computer-based Accounting; Accounting Informatics; Translation 1; Public Accounting; Chuyên đề Tin học quản lý đầu tư; Accounting Information Systems 1; Nguyên lý kế toán; Accounting Information Systems 1; Data Analysis 2; Managerial Accounting 2,TIHT1119,1.0,1.0,1.0,1.0
75,697b19e7b166038a822e4d3f,groundtruth_dataset,3,Financial models; Media coordination; Profit margin management,Financial models; Media coordination; Profit margin management,<groundtruth_gap_source>,,"Financial models, Media coordination, Profit margin management",3,TOTC1106; TOTC1108; TOTC1109,TOKT1149; MKTT1110; MKTT1158; TOkt1104; NHTC1103; MKTT1102; KTQT1106; KTQT1106; NHTC1110; DTKT1149,Data Driven Marketing; Advertising agency management; Advertising media planning; Mathematical Economic Modeling 1; Quản trị Tài chính trong du lịch và khách sạn; Integrated Marketing Communications; Managerial Accounting 2; Managerial Accounting 2; Corporate Finance 2; Chuyên đề Tin học quản lý đầu tư,,0.0,0.0,0.0,0.0
78,694a933a47743a24b54ffb17,groundtruth_dataset,8,Go; Kubernetes; Helm; Kafka; Cassandra; Zookeeper; Geode; Distributed systems,Go; Kubernetes; Helm; Kafka; Cassandra; Zookeeper; Geode; Distributed systems,<groundtruth_gap_source>,,"Go, Kubernetes, Helm, Kafka, Cassandra, Zookeeper, Geode, Distributed systems",1,CNTT1167,TKKT1134; CNTT1167; CNTT1175; NNTM1107; CNTT1190; TIKT1135; TOKT1149; CNTT1181; TIKT1130; CNTT1176,Data Analysis 2; Cloud Computing; Unstructured database; Translation 1; Service Oriented Software Development; Development of Open Source Software and Applications; Data Driven Marketing; Knowledge Discovery in Database; Database; Decision Support System,CNTT1167,0.0,1.0,1.0,1.0
79,696fcd1eb166038a822e4765,groundtruth_dataset,3,Non-life Insurance Products; Sales Agent Training; Partner Relationship Management,Non-life Insurance Products; Sales Agent Training; Partner Relationship Management,<groundtruth_gap_source>,,"Non-life Insurance Products, Sales Agent Training, Partner Relationship Management",2,MKBH1109; BHKT1166,BHKT1105; BHKT1113; BHKT1118; BHKT1166; BHKT1121; BHKT1162; BHKT1164; BHKT1155; MKTT1145; BHKT1114,Business Insurance 2; Insurance Business Administration 1; Insurance Principles; Introduction to Actuarial; English for Insurance; Insurance Risk Analysis; Insurance Adjusting and Claims; Đầu tư trong bảo hiểm; Sales Promotion; Insurance Business Administration 2,BHKT1166,0.0,0.0,1.0,1.0
84,696380c657a0f8cfb910e925,groundtruth_dataset,3,Next.js; cross-browser compatibility; .NET Core APIs,Next.js; cross-browser compatibility; .NET Core APIs,<groundtruth_gap_source>,,"Next.js, cross-browser compatibility, .NET Core APIs",3,CNTT1130; CNTT1119; CNTT1188,NNTM1107; TKKT1134; CNTT1130; NNTM1163; DTKT1149; CNTT1175; CNTT1188; CNTT1119; TOKT1149; CNTT1165,Translation 1; Data Analysis 2; .Net Programming; Translation 3; Chuyên đề Tin học quản lý đầu tư; Unstructured database; Web Programming; Website Design and Programming; Data Driven Marketing; Web Design,CNTT1130; CNTT1188; CNTT1119,0.0,1.0,1.0,1.0
85,695cbf031fa95d1eeecca0c4,groundtruth_dataset,4,big data technology; NLP; LLM; VLM,big data technology; NLP; LLM; VLM,<groundtruth_gap_source>,,"big data technology, NLP, LLM, VLM",2,TKkD1127; CNTT1140,NNTM1107; NNTM1163; CNTT1186; TKKT1134; TOKT1149; CNTT1140; CNTT1149; TKkD1127; TIKT1122; TIHT1123,Translation 1; Translation 3; Advanced Technologies in Information and Communication Technology; Data Analysis 2; Data Driven Marketing; Artificial Intelligence; Multimedia Technologies; Phân tích dữ liệu lớn; Business Intelligence; Application of Artificial Intelligence in Business and Management,CNTT1140; TKkD1127,0.0,0.0,0.0,1.0
87,6963803557a0f8cfb910e924,groundtruth_dataset,2,FMEA; project-management-tools-JIRA,FMEA; project-management-tools-JIRA,<groundtruth_gap_source>,,"FMEA, project-management-tools-JIRA",1,TIKT1113,DTKT1149; TKKT1134; NNTM1107; NNTM1163; DTKT1157; QTKD1118; CNTT1159; KTKI 1105; QTCL1104; DTKT1160,Chuyên đề Tin học quản lý đầu tư; Data Analysis 2; Translation 1; Translation 3; Microsoft Project; Project Execution Management; Information Technology Project Management; Management Control; Quality Management; Project Quality Management,,0.0,0.0,0.0,0.0
90,696380c657a0f8cfb910e926,groundtruth_dataset,3,Python; WordPress; Docker,Python; WordPress; Docker,<groundtruth_gap_source>,,"Python, WordPress, Docker",2,CNTT1180; CNTT1116,TKKT1134; NNTM1107; TIKT1129; NNTM1163; TIKT1129; TIKT1135; TOKT1149; DTKT1149; CNTT1119; TIKT1135,Data Analysis 2; Translation 1; Electronic Commerce Systems; Translation 3; Electronic Commerce Systems; Development of Open Source Software and Applications; Data Driven Marketing; Chuyên đề Tin học quản lý đầu tư; Website Design and Programming; Development of Open Source Software and Applications,,0.0,0.0,0.0,0.0
94,696380c657a0f8cfb910e927,groundtruth_dataset,3,WordPress; Docker; Website development,WordPress; Docker; Website development,<groundtruth_gap_source>,,"WordPress, Docker, Website development",3,CNTT1119; CNTT1188; TIKT1134,CNTT1119; CNTT1188; TIKT1129; TKKT1134; TIKT1129; TIKT1134; CNTT1165; NNTM1107; NNTM1163; TOKT1149,Website Design and Programming; Web Programming; Electronic Commerce Systems; Data Analysis 2; Electronic Commerce Systems; Web Applications Development; Web Design; Translation 1; Translation 3; Data Driven Marketing,CNTT1119; CNTT1188; TIKT1134,1.0,1.0,1.0,1.0
95,69526734b27a39886f08acf3,groundtruth_dataset,2,ERP system experience; Corporate Income Tax (CIT) settlement,ERP system experience; Corporate Income Tax (CIT) settlement,<groundtruth_gap_source>,,"ERP system experience, Corporate Income Tax (CIT) settlement",1,NHCO1111,TIHT1119; NNTM1107; KTHT1105; TKKT1134; KTHT 1102; KTHT 1102; KTKE1103; NNTM1163; KTHT1101; KTKE1101,Computer-based Accounting; Translation 1; Kiểm soát nội bộ; Data Analysis 2; Accounting Information Systems 2; Accounting Information Systems 2; Public Accounting; Translation 3; Accounting Information Systems 1; Nguyên lý kế toán,,0.0,0.0,0.0,0.0
98,697b1a84b166038a822e4d44,groundtruth_dataset,1,cost management,cost management,<groundtruth_gap_source>,,cost management,1,QTTH1116,QTTH1116; KTQT1106; TKKT1134; KTQT1106; NNTM1107; KTQT1109; KTQT1103; KTQT1109; DTKT1149; KTQT1103,Cost Management; Managerial Accounting 2; Data Analysis 2; Managerial Accounting 2; Translation 1; Cost Accounting; Managerial Accounting 1; Cost Accounting; Chuyên đề Tin học quản lý đầu tư; Managerial Accounting 1,QTTH1116,1.0,1.0,1.0,1.0
