pair_id	jd_title	gaps	truth_courses	pred_top3	hit1	hit10	gap_to_canon
23	Automation Test Lead (QA QC/ Tester)	Python; C#; Playwright	CNTT1180; TIHT1113	Writing skills for public relations; Application Programming; .Net Programming	0.0	1.0	Python -> 11a4a60b518bf249:Python (1.0000); C# -> b27794974a29d825:ADO.NET Programming (0.8934); Playwright -> ee0902fbd881250a:Speech writing (0.8402)
30	Database Administrator	AWS; cloud platforms	CNTT1167; CNTT1198	Cloud Service Security; Cloud Computing; Advanced Technologies in Information and Communication Technology	1.0	1.0	AWS -> 81121f330a983b7f:Cloud computing (0.8744); cloud platforms -> 81121f330a983b7f:Cloud computing (0.9375)
31	Cộng Tác Viên Nội Dung SEO	Real estate industry experience; Project management; Managing outsourced content providers	TNBD1137; TNBD1115; TNBD1116	Real Estate Business 1; Real estate Management; Investment Project Design and Management	0.0	1.0	Real estate industry experience -> d39dddf64562b7ae:Real Estate Business Overview (0.9048); Project management -> 5a7c3011cba026a3:Project Management (0.9944); Managing outsourced content providers -> a537684cc680a4d8:Understanding characteristics of media channels (0.8482)
35	IT Security Specialist (ISO 27001)	information security governance frameworks; compliance management; periodic review processes; security compliance standards; cloud security principles	CNTT1198; CNTT1168; CNTT1197; CNTT1199	Cloud Service Security; Financial Audit Practice; Software and Database Security	1.0	1.0	information security governance frameworks -> 08994031d78229cb:Information security (0.9084); compliance management -> 8803662d165dcea7:Compliance Standards (0.9105); periodic review processes -> 360b13aa49797a20:Audit Follow-up (0.8684); security compliance standards -> 8803662d165dcea7:Compliance Standards (0.9235); cloud security principles -> 448e8a55f0c63487:Cloud Security Architecture (0.9460)
37	Back End Python Developer (Python, AWS)	JPA; Flyway; AWS Cognito; AWS SES; Digital Marketing domain	CNTT1167; MKBH1116; CNTT1153	Cloud Service Security; Digital Marketing; Database Management Systems	0.0	1.0	JPA -> 213b8a04e6059034:EJB Techniques (0.8651); Flyway -> 4611994bd0ab71de:MySQL Database Management System (0.8612); AWS Cognito -> ad4b0d58e0291133:Identity Management (0.8636); AWS SES -> 81121f330a983b7f:Cloud computing (0.8603); Digital Marketing domain -> d8f8892a74cd1a85:Digital marketing decision-making process (0.9135)
38	Kế Toán Tổng Hợp	Financial Analysis; Managerial Accounting; Budget Management	QTKD1130; KTHT1104; KHMA1125	Quản trị Tài chính trong du lịch và khách sạn; Data Analytics for Accounting; Urban Housing Economics and Management	0.0	1.0	Financial Analysis -> 6a6ebe8510ced07b:Financial Analysis (1.0000); Managerial Accounting -> d1e401743dbc1ef1:Managerial Accounting Concepts (0.9573); Budget Management -> 30dfc23a621db88b:Budget system and management (0.9537)
39	Principal AI Architect (English - Onboard after Tet)	.Net; data pipelines; generative AI; NLP; computer vision; cloud environments (Azure, AWS, GCP); AI workloads optimization	CNTT1177; CNTT1130; CNTT1167; CNTT1140	Digital Image Processing; Advanced Technologies in Information and Communication Technology; Cloud Service Security	0.0	1.0	.Net -> 82a2c9e39ba6e496:Wide Area Networks (WAN) (0.8701); data pipelines -> e687563e03a65281:Database Integration (0.8728); generative AI -> d7a0db78b674962b:Text Creation (0.9109); NLP -> 803b3eb2b6af0271:Artificial intelligence (0.8966); computer vision -> 4c330d312e1c7bda:Machine Learning for Image Recognition (0.9214); cloud environments (Azure, AWS, GCP) -> 81121f330a983b7f:Cloud computing (0.9231); AI workloads optimization -> 50779cd6819806ac:Research and develop AI applications (0.8611)
49	Database Administrator	Cloud platforms; AWS	CNTT1167	Cloud Service Security; Cloud Computing; Advanced Technologies in Information and Communication Technology	0.0	1.0	Cloud platforms -> 81121f330a983b7f:Cloud computing (0.9484); AWS -> 81121f330a983b7f:Cloud computing (0.8744)
52	Business Analyst	ERP; digital marketing; technical writing	MKBH1116; MKMA1159	Digital Marketing; Writing skills for public relations; Development of Open Source Software and Applications	1.0	1.0	ERP -> e6a3b5530494287f:Enterprise resource planning systems (0.9222); digital marketing -> d8f8892a74cd1a85:Digital marketing decision-making process (0.9290); technical writing -> 0cf41d5fc9dec478:Technical Writing (0.9692)
55	Back End Developer (Java, MySQL, Spring)	MongoDB; Kubernetes; AWS; GCP; GO	CNTT1167; TIKT1124; TIKT1130	Cloud Service Security; Development of Open Source Software and Applications; Unstructured database	0.0	1.0	MongoDB -> cb62eba40b93615e:Designing applications with MongoDB (0.9266); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); AWS -> 81121f330a983b7f:Cloud computing (0.8744); GCP -> cc975e69d79a6f6f:Cloud Concepts (0.8816); GO -> 454349e422f05297:R (0.8351)
57	Kế Toán Trưởng - 3 (Thu Nhập 25 Triệu +++)	Production Cost Optimization; Product Costing; Strategic Financial Analysis for Construction/Manufacturing; Management of Industrial Accounting Systems	QTTH1116; KTQT1109; KTQT1103; KTQT1106	Cost Accounting; Accounting Information Systems 1; Cost Management	1.0	1.0	Production Cost Optimization -> 3d6ae96017f46c2e:Cost Management (0.8905); Product Costing -> 4d5c583613a3a65e:Types of Costs and Product Costs (0.9311); Strategic Financial Analysis for Construction/Manufacturing -> 6a6ebe8510ced07b:Financial Analysis (0.9023); Management of Industrial Accounting Systems -> a534d9de6c4b3839:Organizing Accounting Systems (0.9205)
64	Data Engineer (DBA)	GCP; Azure; BigQuery	CNTT1167; TKkD1127; CNTT1186	Phân tích dữ liệu lớn; Cloud Service Security; Cloud Computing	1.0	1.0	GCP -> cc975e69d79a6f6f:Cloud Concepts (0.8816); Azure -> 81121f330a983b7f:Cloud computing (0.8839); BigQuery -> 983b5e0fb845ddb8:Managing large datasets (0.8564)
66	Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)	AWS Glue; EC2; VPC; ECS/EKS; IAM	CNTT1167	Virtualization Technologies; Cloud Computing; Advanced Technologies in Information and Communication Technology	0.0	1.0	AWS Glue -> 2271ef0581251939:Data Warehouse Knowledge (0.8391); EC2 -> 81121f330a983b7f:Cloud computing (0.8760); VPC -> a3d7bb38562108eb:Data Center Virtualization Architecture (0.8504); ECS/EKS -> cc975e69d79a6f6f:Cloud Concepts (0.8710); IAM -> ad4b0d58e0291133:Identity Management (0.8432)
67	Kỹ Sư Lập Trình Hệ Thống	Java; multithreading; parallel processing; CAN; Ethernet; IPCore; FPGA	CNTT1153; CNTT1112	Computer Architecture; Computer Network and Data Communication; Cryptography and Information Security	1.0	1.0	Java -> 3a34b0fdd2853358:NetBeans IDE (0.8473); multithreading -> 20eee9e87acff49b:Process Communication and Synchronization (0.8656); parallel processing -> 4f60fe2c11c132e1:Parallelism Techniques (0.8665); CAN -> a9ec8d7a85274b1b:Client Acceptance Decision Making (0.8420); Ethernet -> 82a2c9e39ba6e496:Wide Area Networks (WAN) (0.8811); IPCore -> 35e7550fc947903f:NordLocker (0.8303); FPGA -> 08b87df8a19c6bc9:RISC Architecture (0.8498)
68	Solution Architect	customer onboarding; loans; compliance; GCP; AWS; Kubernetes; data governance; security protocols; regulatory frameworks (MAS, GDPR, PCI-DSS); Oracle; MongoDB; Cassandra; MySQL	CNTT1198; CNTT1167; TIKT1124	An toàn và bảo mật thông tin; Unstructured database; Database Management Systems	0.0	0.0	customer onboarding -> 3397ba5e53781cb5:Managing customer lifecycle (0.8878); loans -> af4ac853aef2a882:Debt and Leasing Markets (0.8761); compliance -> a8c6e3a7760f164b:Compliance with Rules and Regulations (0.9197); GCP -> cc975e69d79a6f6f:Cloud Concepts (0.8816); AWS -> 81121f330a983b7f:Cloud computing (0.8744); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); data governance -> 3dd499a7fb7e0a2d:Government Management (0.8754); security protocols -> cce17667f4173cb9:Security Protocol Analysis (0.9277); regulatory frameworks (MAS, GDPR, PCI-DSS) -> 8803662d165dcea7:Compliance Standards (0.8789); Oracle -> 79c41baebfebd6a5:SQL Server (0.9080); MongoDB -> cb62eba40b93615e:Designing applications with MongoDB (0.9266); Cassandra -> 6fa5dd8f1fcea426:Dirichlet Principle (0.8466); MySQL -> 4611994bd0ab71de:MySQL Database Management System (0.9303)
70	React Native Mobile App Development Engineer (Expo)	deploying local and remote notifications; implementing in-app purchases; application quality management and release processes (App Store / Google Play, etc.); test code writing experience (Jest / React Native Testing Library, etc.); Biome	CNTT1157; CNTT1178	Ecology; Mobile Applications Development; Forest Economics	0.0	1.0	deploying local and remote notifications -> 55dcfba3a15e9371:Deploying and managing web applications (0.8075); implementing in-app purchases -> bf281bcbbb891465:Applying e-commerce transaction processes (0.8321); application quality management and release processes (App Store / Google Play, etc.) -> 4693c2b0d1ebf89d:Product Quality Management Application (0.8690); test code writing experience (Jest / React Native Testing Library, etc.) -> 710ea6b3deecb364:Testing Techniques Integration (0.8589); Biome -> 99bc46f379b2482e:Understanding and explaining the essence of ecology (0.8617)
71	Senior / Staff Mobile Engineer (iOS)	reactive programming; UI testing; modern mobile development landscape; Golang; Microservices; DevOps culture	CNTT1178; CNTT1157	Service Oriented Software Development; Web Applications Development; Organizational Behavior	0.0	1.0	reactive programming -> 42430699c92247f2:Data interaction programming (0.8432); UI testing -> becbf7f4a588cff7:Test Design (0.8741); modern mobile development landscape -> ca6980df86daa02e:Mastering web application technologies (0.8806); Golang -> 11a4a60b518bf249:Python (0.7894); Microservices -> 140f584ba1cbde2b:Service-Oriented Architecture (0.8929); DevOps culture -> cdb03b287d4d6487:Organizational Culture (0.8830)
72	Senior Automation Tester	C#; Playwright; performance testing techniques and tools	CNTT1178; TIHT1113	Writing skills for public relations; Application Programming; .Net Programming	0.0	1.0	C# -> b27794974a29d825:ADO.NET Programming (0.8934); Playwright -> ee0902fbd881250a:Speech writing (0.8402); performance testing techniques and tools -> 4058cde8164a60ce:Application Testing Techniques (0.9023)
73	Front End Developer (React, Typescript)	Vue.js; Unit test using Jest; Next.js; Performance-oriented development; Back-end development; AWS; Google Analytics	CNTT1167; CNTT1119; CNTT1188	Web Applications Development; Cloud Service Security; Financial Auditing 2	0.0	1.0	Vue.js -> bee590cd707e7172:JavaScript Programming (0.8289); Unit test using Jest -> 710ea6b3deecb364:Testing Techniques Integration (0.8076); Next.js -> ca6980df86daa02e:Mastering web application technologies (0.8140); Performance-oriented development -> 81411262539a8a05:Analyzing practical situations in development management (0.8879); Back-end development -> 8b6799760a8163c1:RESTful API Development (0.8766); AWS -> 81121f330a983b7f:Cloud computing (0.8744); Google Analytics -> e11bb3d7da37d647:Marketing Analysis (0.8875)
74	Kế Toán Tổng Hợp - Ưu Tiên Mảng Xây Dựng - Từ 3 Năm Kinh Nghiệm - Thu Nhập Upto 20tr - Từ Liêm, Hà Nội	Fast accounting software	TIHT1119; KTHT1104	Computer-based Accounting; Accounting Information Systems 1; Accounting Informatics	1.0	1.0	Fast accounting software -> 5cda33bd7b0feb89:Specialized Accounting Software for Business (0.9147)
75	(Senior) Account Executive	Financial models; Media coordination; Profit margin management	TOTC1106; TOTC1108; TOTC1109	Models of Financial Corporate; Managerial Accounting 1; Public Accounting 1	0.0	1.0	Financial models -> 95c7e896df055bf3:Financial Modeling (0.9469); Media coordination -> 9708af5b8f89d6be:Planning and Coordination (0.9252); Profit margin management -> 7589565432ed6928:Profit method application (0.8775)
78	Cloud Developer (Go/Python/Bash + Cloud/Kubernetes)	Go; Kubernetes; Helm; Kafka; Cassandra; Zookeeper; Geode; Distributed systems	CNTT1167	Cloud Computing; English for Management Information System; Knowledge Discovery in Database	1.0	1.0	Go -> 454349e422f05297:R (0.8056); Kubernetes -> cc975e69d79a6f6f:Cloud Concepts (0.8492); Helm -> 35e7550fc947903f:NordLocker (0.8527); Kafka -> 78478926d84635c5:Hadoop Model Explanation (0.8522); Cassandra -> 6fa5dd8f1fcea426:Dirichlet Principle (0.8466); Zookeeper -> 78478926d84635c5:Hadoop Model Explanation (0.8184); Geode -> 1a1e557927e37bed:Geographic Knowledge (0.8383); Distributed systems -> d8d463c12a243d6b:System Architecture (0.8775)
79	Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ	Non-life Insurance Products; Sales Agent Training; Partner Relationship Management	MKBH1109; BHKT1166	Insurance Principles; Quản trị bán hàng; Selling Skills	0.0	0.0	Non-life Insurance Products -> eaee706039b0a5b7:Types of Insurance (0.9058); Sales Agent Training -> 848ed9aebcd2af64:Sales techniques (0.8844); Partner Relationship Management -> 75166d1127c6e73a:Customer Relationship Management (0.9139)
84	Frontend Developer (Mobile)	Next.js; cross-browser compatibility; .NET Core APIs	CNTT1130; CNTT1119; CNTT1188	.Net Programming; Web Design; Web Programming	1.0	1.0	Next.js -> ca6980df86daa02e:Mastering web application technologies (0.8140); cross-browser compatibility -> edc92882a411041f:Responsive Web Design (0.8040); .NET Core APIs -> b27794974a29d825:ADO.NET Programming (0.8517)
85	Senior Machine Learning Engineer	big data technology; NLP; LLM; VLM	TKkD1127; CNTT1140	Phân tích dữ liệu lớn; Advanced Technologies in Information and Communication Technology; Principles of Land Administration	1.0	1.0	big data technology -> 33a440e8859bb4dc:Understanding big data concepts (0.8977); NLP -> 803b3eb2b6af0271:Artificial intelligence (0.8966); LLM -> 803b3eb2b6af0271:Artificial intelligence (0.8786); VLM -> 803b3eb2b6af0271:Artificial intelligence (0.8339)
87	Process Quality Assurance (PQA)	FMEA; project-management-tools-JIRA	TIKT1113	Chuyên đề Tin học quản lý đầu tư; Microsoft Project; Quản trị năng suất và Tiêu chuẩn hóa	0.0	1.0	FMEA -> 547fd3697aa0ed6a:Material Flow Cost Accounting (MFCA) (0.8696); project-management-tools-JIRA -> a49300053b0211fe:Project Management Application (0.8984)
90	IT Comtor (PHP, Python, Laravel, WordPress, Japanese)	Python; WordPress; Docker	CNTT1180; CNTT1116	Development of Open Source Software and Applications; Electronic Commerce Systems; Web Applications Development	0.0	1.0	Python -> 11a4a60b518bf249:Python (1.0000); WordPress -> 576473d6a73d7f55:WordPress (1.0000); Docker -> 70f0d3e18d498cc9:Google Colab (0.8576)
94	Bridge Software Engineer (BrSE)	WordPress; Docker; Website development	CNTT1119; CNTT1188; TIKT1134	Website Design and Programming; Electronic Commerce Systems; Web Applications Development	1.0	1.0	WordPress -> 576473d6a73d7f55:WordPress (1.0000); Docker -> 70f0d3e18d498cc9:Google Colab (0.8576); Website development -> 644020ef757e548a:E-commerce Website Development (0.9089)
95	Chuyên Viên Kế Toán Thuế - Lương Cứng 10-13M	ERP system experience; Corporate Income Tax (CIT) settlement	NHCO1111	Taxation; Public Accounting; Development of Open Source Software and Applications	1.0	1.0	ERP system experience -> e6a3b5530494287f:Enterprise resource planning systems (0.8912); Corporate Income Tax (CIT) settlement -> b2772cc34a579904:Corporate Income Tax (0.9159)
98	Quản Lý Hành Chính	cost management	QTTH1116	Microsoft Project; Managerial Accounting 1; Cost Management	0.0	1.0	cost management -> 3d6ae96017f46c2e:Cost Management (0.9808)
99	Senior Automation Tester	Python; C#; performance testing techniques and tools	CNTT1180; TIHT1113	Application Programming; .Net Programming; Supply Chain Management	0.0	1.0	Python -> 11a4a60b518bf249:Python (1.0000); C# -> b27794974a29d825:ADO.NET Programming (0.8934); performance testing techniques and tools -> 4058cde8164a60ce:Application Testing Techniques (0.9023)
100	IOS Native	SOAP; Flutter; Android; cloud services; background communication	CNTT1167	Service Oriented Software Development; Business Communication – in English; Cloud Computing	0.0	1.0	SOAP -> db27b691e112b3f3:SOAP Service Development (0.8871); Flutter -> 5b79d0d574eedd09:Figma (0.8304); Android -> 4fd034811c0b16b8:Mobile Application Development (0.8547); cloud services -> 81121f330a983b7f:Cloud computing (0.9562); background communication -> 202e9d6c2400c7a8:Managing multimedia communication for businesses (0.8736)
102	QA/QC Engineer (Unit Test, Integration Test)	Redmine; Chrome DevTools; Selenium; Appium	CNTT1188; TIKT1134; CNTT1119	Development of Open Source Software and Applications; Web Design; Application Programming	0.0	1.0	Redmine -> a49300053b0211fe:Project Management Application (0.8555); Chrome DevTools -> 19034ff2846dd635:Visual Studio Code (0.8953); Selenium -> 0b6c9f6036708bf7:Web Testing Techniques (0.8428); Appium -> 5b79d0d574eedd09:Figma (0.8065)
103	Data Engineer (DBA)	GCP; Azure; MariaDB; Oracle; Change management; Performance tuning	TKkD1127; CNTT1167	Cloud Service Security; Cloud Computing; Financial Auditing 2	0.0	1.0	GCP -> cc975e69d79a6f6f:Cloud Concepts (0.8816); Azure -> 81121f330a983b7f:Cloud computing (0.8839); MariaDB -> 4611994bd0ab71de:MySQL Database Management System (0.9176); Oracle -> 79c41baebfebd6a5:SQL Server (0.9080); Change management -> 7be96c1162c0c7bc:Change Management (0.9949); Performance tuning -> 84933d3097e0c31a:Algorithm Performance (0.8541)
106	Cloud System Engineer (GCP)	Google Cloud Deployment Manager; Cloud SDK; Python; Go	CNTT1167; CNTT1180	Cloud Computing; Web Applications Development; Social Networks	1.0	1.0	Google Cloud Deployment Manager -> 55dcfba3a15e9371:Deploying and managing web applications (0.8413); Cloud SDK -> cc975e69d79a6f6f:Cloud Concepts (0.8670); Python -> 11a4a60b518bf249:Python (1.0000); Go -> 454349e422f05297:R (0.8056)
108	Fullstack Developer (PHP)	unit tests; test automation; AI development	CNTT1178; CNTT1140	Artificial Intelligence; Application of Artificial Intelligence in Business and Management; Software Testing and Quality Assurance	1.0	1.0	unit tests -> d1deb4fdfb721e44:Testing control procedures (0.8497); test automation -> 7209ac90fac75884:Automated Testing Techniques (0.8889); AI development -> 803b3eb2b6af0271:Artificial intelligence (0.9215)
121	Senior Java Backend Developer (Spring)	Modern architectural styles (microservices, cloud-based, micro-kernel); Design patterns (SOLID, GoF, MVVM); CI/CD tools and practices; Oracle; MS SQL	CNTT1167; TIKT1124; CNTT1152; TIKT1130; CNTT1188	Database Management Systems; Development of Open Source Software and Applications; Website Design and Programming	1.0	1.0	Modern architectural styles (microservices, cloud-based, micro-kernel) -> f6fd46a207885909:Understanding the basics of architecture (0.8466); Design patterns (SOLID, GoF, MVVM) -> 2c26ea23a1adea4b:Object-Oriented Design (0.8673); CI/CD tools and practices -> 5b38c92a1b9db958:Version Control Systems (0.8539); Oracle -> 79c41baebfebd6a5:SQL Server (0.9080); MS SQL -> 79c41baebfebd6a5:SQL Server (0.9677)
125	Mobile Developer (Flutter)	secure coding practices; encryption standards	CNTT1197; CNTT1168	Software and Database Security; Cryptography and Information Security; An toàn và bảo mật thông tin	0.0	1.0	secure coding practices -> c0656a06590b5361:Database Security Principles (0.8761); encryption standards -> 9899f1fec6613468:AES (0.9372)
136	Nhân Viên Bán Hàng Trang Trí Nội Thất	English communication skills (average level)	NNKC 1131; NNTM1176; NNTM1151	English for International Economics and Business; English for Public Relations; Drafting Legal Documents	0.0	1.0	English communication skills (average level) -> 1d3f58bad3e7e4dd:Basic English Communication (0.9048)
142	Nhân Viên Nuôi Tài Khoản Facebook Ads	Data Analysis for Facebook Ad Campaigns	TKKT1133; TKkD1127	Decision Support Systems; Land using investment project assessment; Python Programming	0.0	0.0	Data Analysis for Facebook Ad Campaigns -> 467119c2e02e473b:Data analysis (0.9106)
149	Chuyên Viên Thiết Kế UX/UI (Lĩnh Vực Thời Trang Thể Thao Kamito)	Sketch; component; usability; accessibility; responsive design	CNTT1165	Kiểm soát nội bộ; Translation 1; Project Design	0.0	0.0	Sketch -> 5b79d0d574eedd09:Figma (0.8623); component -> fbc6c1d4c3b6db8f:Modules (0.8463); usability -> 661559a2e0ec9f17:Adaptability (0.8379); accessibility -> edc92882a411041f:Responsive Web Design (0.8215); responsive design -> edc92882a411041f:Responsive Web Design (0.9410)
152	Chuyên Viên Quan Hệ Khách Hàng Doanh Nghiệp - TP.HCM (Phỏng Vấn Trước Tết - Nhận Việc Sau Tết)	Corporate banking credit operations; Knowledge of CBRC rules; Commercial banking laws (MGA)	LUKD1187; NHTM 1121; NHTM 1111	Banking Law; Commercial Banking 1; Commercial Banking 2	1.0	1.0	Corporate banking credit operations -> bed622c72ddf016b:Banking Operations (0.9225); Knowledge of CBRC rules -> a8c6e3a7760f164b:Compliance with Rules and Regulations (0.8657); Commercial banking laws (MGA) -> fcf035ac6e382ee8:Banking Operations Legal Framework (0.8973)
153	UX/UI Designer	accessibility; security-by-design principles; Fluent in English (written and oral)	CNTT1165; NNKC 1131; NNTM1179; NNTM1176	Software and Database Security; Cloud Service Security; Translation 2	0.0	0.0	accessibility -> edc92882a411041f:Responsive Web Design (0.8215); security-by-design principles -> a2ee80c016423270:Application Security Principles (0.9247); Fluent in English (written and oral) -> abcdf5e513d4c5b6:Speaking Ability (0.8947)
155	Nhân Viên Tư Vấn Tuyển Sinh/ Telesale/ Sale Giáo Dục (NỮ, 23 - 31 Tuổi), Thu Nhập 18 - 30 Triệu++ Tại Hồ Chí Minh	E-learning product knowledge; English proficiency (IELTS 5.5 or equivalent)	NNTM1176; NNKC 1131	Drafting Legal Documents; Cadastral Survey; Corporate Finance 2	0.0	0.0	E-learning product knowledge -> dc2bc70793079463:Online Learning (0.8683); English proficiency (IELTS 5.5 or equivalent) -> 8b3f82a9920e6969:Language Proficiency (0.9069)
156	Kế Toán Tổng Hợp	Financial Analysis	NHTC1108; KTHT1104	Quản trị Tài chính trong du lịch và khách sạn; Data Analysis Programming; Financial Analysis	0.0	1.0	Financial Analysis -> 6a6ebe8510ced07b:Financial Analysis (1.0000)
168	Automation Test Lead (QA QC/ Tester)	JavaScript; C#; Playwright	TIHT1113; CNTT1165	Writing skills for public relations; Application Programming; .Net Programming	0.0	1.0	JavaScript -> bee590cd707e7172:JavaScript Programming (0.9323); C# -> b27794974a29d825:ADO.NET Programming (0.8934); Playwright -> ee0902fbd881250a:Speech writing (0.8402)
170	Nhân Viên Kinh Doanh Dự Án Bất Động Sản Toàn Quốc (Không Yêu Cầu Kinh Nghiệm)	Legal consultation; Urban planning knowledge; Feng shui consultation; Real estate investment analysis	LUKD1193; TNBD1115; TNBD1137; MTDT1114	Legal Consulting Skills; Urban and Regional Planning; Architecture	1.0	1.0	Legal consultation -> c82ca2cac26dcb03:Understanding Legal Consultation Concepts (0.9256); Urban planning knowledge -> 64cf84b60c298dd2:Urban Structure Planning (0.9433); Feng shui consultation -> 9ac5fe62101447d0:Hotel Project Consultation (0.8383); Real estate investment analysis -> b6ee6a38c2cbc3ee:Real estate market analysis (0.9616)
171	Quản Lý Khách Hàng Cá Nhân (RM/SRM) - Thu Nhập Up To 30 Triệu/Tháng	credit operations; risk management; appraisal; valuation	TOTC1120; TOTC1121	Ngân hàng Trung ương; Supply Chain Management; Insurance Principles	0.0	1.0	credit operations -> 242e9e15af0aa617:Insurance Transactions (0.8850); risk management -> 47ac95fd8f8738cd:Risk Management (0.9690); appraisal -> d6c57f7a6ed5e3ae:Financial appraisal in decision-making (0.8647); valuation -> a79cc880c5121118:Solution Evaluation (0.9028)
177	Chuyên Viên Cao Cấp Phát Triển Kinh Doanh Bảo Hiểm	contracts negotiation; product promotion	DTKT1164; MKTT1145	Sales Promotion; Real Estate Business 2; English for International Economics and Business	1.0	1.0	contracts negotiation -> 877cfa501371fa38:Negotiation skills for contracts (0.9368); product promotion -> ecc3a1999012b6fe:Sales Promotion Campaign Creation (0.9234)
