pair_id,jd_id,jd_title,truth_courses,gap_skill,gap_description,mapped_canonical_skill,mapped_canonical_skill_id,mapped_skill_description_proxy,mapping_score,below_top1_threshold_0_87,heuristic_generic_or_cross_domain,why_likely_wrong,gap_key,canon_key,best_gt_to_canonical_score,best_gt_skill_name,best_gt_canonical_label,gt_score_for_this_mapped_canonical,matched_gt_raw_skill_for_this_mapped_canonical,delta_vs_best_gt,abs_delta_vs_best_gt,mapped_canonical_has_gt_evidence,clean_best_gt_score,clean_best_gt_skill,clean_best_gt_canonical,clean_best_gt_desc,gap_is_technical_like,clean_gt_exists,jacc_gap_clean_gt,jacc_gap_mapped,delta_mapping_minus_clean_gt,clean_gt_semantic_match_flag
208,695cc87c1fa95d1eeecca0e3,"Back End Developer (Java, MySQL, Spring)",CNTT1167; CNTT1186,AWS,"Lacks experience with Amazon Web Services for deploying, hosting, and managing enterprise-grade backend systems and databases.",Deploying and managing web applications,55dcfba3a15e9371,,0.8922,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,aws,deploying and managing web applications,1.0,Classroom Discipline,Classroom Discipline,,,-0.1078,0.1078,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.1078,True
79,696fcd1eb166038a822e4765,"Phụ Trách Kinh Doanh, Bảo Hiểm Phi Nhân Thọ",MKBH1109; BHKT1166,Non-life Insurance Products,Proficiency in understanding and explaining diverse non-life insurance coverage options to potential clients and sales teams.,Customer Management in Insurance,703afbde6bba8eb9,,0.8988,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,non-life insurance products,customer management in insurance,1.0,Independent work,Applying customer relationship management techniques,,,-0.1011999999999999,0.1011999999999999,False,1.0,Analyzing business-customer relationships,Analyzing business-customer relationships,Analyze the quality and development of business-customer relationships.,False,True,0.0,0.16666666666666666,-0.10119999999999996,True
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Access,Proficiency in using Microsoft Access to manage sales databases and track customer records effectively within sales administration.,Sales Management,04219a23329000ee,,0.9018,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,access,sales management,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),,,-0.0981999999999999,0.0981999999999999,False,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),Explain AHP results,False,True,0.0,0.0,-0.09819999999999995,True
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,MariaDB,Skills in SQL development and database administration for MariaDB to support robust data engineering operations.,MySQL Database Management System,4611994bd0ab71de,,0.9021,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,mariadb,mysql database management system,1.0,Classroom Discipline,Classroom Discipline,,,-0.0978999999999999,0.0978999999999999,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.09789999999999999,True
9,697a65cfb166038a822e4d2c,Chuyên Viên Nhân Sự Tổng Hợp,QTKD1130; CNTT1116; TIKT1124; TIKT1130; CNTT1152; CNTT1180,SEO,Missing skills in SEO to optimize online job advertisements for better visibility and talent attraction.,Determine human resource requirements for e-commerce businesses,e82170a1426c4696,,0.9045,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,seo,determine human resource requirements for e-commerce businesses,1.0,Group Organization,Group organization,,,-0.0955,0.0955,False,1.0,Data Extraction Techniques,Reporting with Database,Apply data extraction techniques using SQL commands.,False,True,0.0,0.0,-0.09550000000000003,True
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,containerization,Missing experience with containerization strategies to ensure portability and scalability of Python-based ETL workflows and Spark jobs.,Python Programming,c44d9221d54651ad,Proficiency in using Python for machine learning tasks.,0.9121,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,containerization,python programming,1.0,Classroom Discipline,Classroom Discipline,,,-0.0878999999999999,0.0878999999999999,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.08789999999999998,True
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Performance tuning,Expertise in SQL performance tuning to optimize query execution and overall database efficiency across multiple platforms.,SQL Database Management,0903a2efa00ef879,Create and manage simple databases with SQL Server,0.9164,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,performance tuning,sql database management,1.0,Classroom Discipline,Classroom Discipline,,,-0.0836,0.0836,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.08360000000000001,True
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,GCP,Competency in designing and operating database services like BigQuery within the Google Cloud Platform environment.,Google Colab,70f0d3e18d498cc9,Use Google Colab for Python development.,0.9176,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,gcp,google colab,1.0,Classroom Discipline,Classroom Discipline,,,-0.0824,0.0824,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.08240000000000003,True
103,695cc1491fa95d1eeecca0c8,Data Engineer (DBA),TKkD1127; CNTT1167,Oracle,"Proficiency in designing, building, and operating Oracle database systems, including cloud-hosted instances like Amazon RDS.",Database Management System Proficiency,d6ef1394dbe285cd,"Proficiently use one of the following database management systems: MS SQL Server, Access, MySQL.",0.9177,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,oracle,database management system proficiency,1.0,Classroom Discipline,Classroom Discipline,,,-0.0823,0.0823,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.08230000000000004,True
219,6966aa84b166038a822e43f3,Chuyên Viên Quảng Cáo (Google Ads; Facebook Ads; Tik Tok Ads),TIHT1123; CNTT1140,Zalo Ads,Lacking proficiency in deploying and optimizing advertising campaigns specifically on the Zalo platform to reach local audiences.,Advertising Campaign Management,cf74ce0e22303913,,0.9191,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,zalo ads,advertising campaign management,1.0,Collaborative Problem Solving,Identify basic problems in AI,,,-0.0808999999999999,0.0808999999999999,False,1.0,Artificial Intelligence Overview,Artificial Intelligence Overview,"Understand basic concepts, achievements, application areas, and future trends of AI.",False,True,0.0,0.0,-0.08089999999999997,True
0,695cb6e11fa95d1eeecca0b2,Data Engineer (DBA),CNTT1167; CNTT1186,Redshift,Lacks experience managing and optimizing Amazon Redshift databases for large-scale data engineering and cloud operations.,Managing large datasets,983b5e0fb845ddb8,Ability to manage large datasets effectively.,0.9204,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,redshift,managing large datasets,1.0,Classroom Discipline,Classroom Discipline,,,-0.0796,0.0796,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.0796,True
66,695cbcbd1fa95d1eeecca0bf,"Data Engineer (Spark, AWS Glue, Python) (Onboard ASAP)",CNTT1167,AWS Glue,Designing and optimizing scalable ETL/ELT pipelines and Spark-based workflows within AWS cloud environments.,Data Readers and DataSets,c16f29e5a0dafd65,,0.9224,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,aws glue,data readers and datasets,1.0,Classroom Discipline,Classroom Discipline,,,-0.0776,0.0776,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.0776,True
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Data analysis,Competency in analyzing sales data to generate insights and support weekly or quarterly reporting for the BOD team.,Analyzing sales situations,3490631b28ced07e,,0.9228,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,data analysis,analyzing sales situations,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),,,-0.0772,0.0772,False,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),Explain AHP results,False,True,0.0,0.0,-0.07720000000000005,True
492,695b9796b166038a822e3c2b,Fresher IT Helpdesk (Đào Tạo Chuyên Môn Cho Dự Án),NNKC 1131; CNTT1192; NNKC 1132; NNTM1181; NNTM1180,Microsoft Teams,Needs proficiency in configuring and troubleshooting Microsoft Teams to support enterprise collaboration and end-user communication.,Team Support Skills,89a000626d916318,,0.93,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,microsoft teams,team support skills,1.0,Information Retrieval,Using tools from basic to advanced levels for research assignments,,,-0.0699999999999999,0.0699999999999999,False,1.0,Information Retrieval,Using tools from basic to advanced levels for research assignments,Ability to search for information and references in English for specialized knowledge.,False,True,0.0,0.0,-0.06999999999999995,True
468,695b91ceb166038a822e3be6,Sale Admin,TKKT1133; TKKT1134; TKKT1124,Interpreting,Proven experience in verbal interpretation between Chinese and/or English to facilitate communication and support the sales department's needs.,Sales Management,04219a23329000ee,,0.9321,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,interpreting,sales management,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),,,-0.0678999999999999,0.0678999999999999,False,1.0,Analytic Hierarchy Process (AHP),Analytic Hierarchy Process (AHP),Explain AHP results,False,True,0.0,0.0,-0.06789999999999996,True
221,6970be22b166038a822e482c,Chuyên Viên Tuyển Dụng Và Đào Tạo,CNTT1177; CNTT1187; CNTT1116; CNTT1180; CNTT1167,Machine Learning,Inability to utilize machine learning for optimizing candidate matching and predicting training program effectiveness.,Recruitment Effectiveness Assessment,cd48a39f6f0c5f03,,0.9327,False,True,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,machine learning,recruitment effectiveness assessment,1.0,Classroom Discipline,Classroom Discipline,,,-0.0673,0.0673,False,1.0,Control Structures,Code Execution,"Apply control structures such as if, while, and for loops in Python.",True,True,0.0,0.0,-0.06730000000000003,True
12,694a8c5247743a24b54ffb03,"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",CNTT1167; CNTT1198; CNTT1186,Docker,Needs proficiency in using Docker to package and deploy data engineering applications consistently across AWS cloud environments.,Data Preprocessing,5a945e3f1f8ebe34,"Develop skills in searching, processing, analyzing, transforming, and visualizing data using packages such as readr, readxl, dplyr, ggplot2, stringr.",0.936,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,docker,data preprocessing,1.0,Classroom Discipline,Classroom Discipline,,,-0.0639999999999999,0.0639999999999999,False,1.0,Cloud Concepts,Cloud computing,"Describe cloud concepts such as services, infrastructure, platforms, storage, and security.",True,True,0.0,0.0,-0.06399999999999995,True
90,696380c657a0f8cfb910e926,"IT Comtor (PHP, Python, Laravel, WordPress, Japanese)",CNTT1180; CNTT1116,Python,Lacks experience using Python for project management and development support when communicating between Japanese clients and engineering teams.,Python Programming,c44d9221d54651ad,Proficiency in using Python for machine learning tasks.,0.941,False,False,GT courses dropped out (rank=-1) in debug run; this top1 canonical mapping likely off-target.,python,python programming,1.0,Control Structures,Code Execution,,,-0.059,0.059,False,1.0,Control Structures,Code Execution,"Apply control structures such as if, while, and for loops in Python.",True,True,0.0,0.5,-0.05900000000000005,True
